Address,Suite,City,Zip,building_type,size,asking_rate,lease_type,brokerage
1174 Castro Street,201,Mountain View,94043,Office,3769,$3.95,NNN,Cassidy Turley Northern California
444 Castro Street,1st Flr,Mountain View,94041,Office,11566,$5.5,NNN,CBRE Group Inc.
444 Castro Street,305,Mountain View,94041,Office,2396,$5.5,Full Service,Colliers International
215 Castro Street,2nd & 3rd Flr,Mountain View,94041,Office,16739,$4.35,NNN,Cornish & Carey Commercial-PA
444 Castro Street,916,Mountain View,94041,Office,2075,$5.8,NNN,Cornish & Carey Commercial-SC
444 Castro Street,305,Mountain View,94041,Office,2396,$5.8,NNN,Cornish & Carey Commercial-SC
147 Castro Street,C,Mountain View,94041,Office,1490,$5,Gross,Colliers International
444 Castro Street,301,Mountain View,94041,Office,532,$5.8,NNN,Cornish & Carey Commercial-SC
444 Castro Street,303,Mountain View,94041,Office,717,$5.8,NNN,Cornish & Carey Commercial-SC
278 Castro Street,0,Mountain View,94041,Office,28821,$5.5,NNN,T3 Advisors
257 Castro Street,0,Mountain View,94041,Office,750,$4,Full Service,Colliers International
605 Castro Street,0,Mountain View,94041,Office,29924,$5.75,NNN,Cornish & Carey Commercial-PA
777 Cuesta Drive,0,Mountain View,94040,Office,2589,$3.5,Full Service,Colliers International
812 Dana Street (W),2nd Flr,Mountain View,94041,Office,1848,$4.95,NNN,Cornish & Carey Commercial-SC
838 Dana Street (W),0,Mountain View,94041,Office,924,$0,0,Premier Property Management
700 El Camino Real (E),100,Mountain View,94040,Office,3318,$2.95,Full Service,KG Real Estate Inc.
700 El Camino Real (E),300,Mountain View,94040,Office,3777,$3.6,0,Colliers International
2440 El Camino Real (W),475,Mountain View,94040,Office,7486,$0,0,Cornish & Carey Commercial-PA
2440 El Camino Real (W),100,Mountain View,94040,Office,6800,$0,0,Cornish & Carey Commercial-PA
57 El Camino Real (W),Entire Bldg,Mountain View,94040,Office,1310,$1.95,NNN,Retail Real Estate Group
800 El Camino Real (W),180,Mountain View,94040,Office,1250,$0,0,Regus Group Network
625 Ellis Street,201,Mountain View,94043,Office,3210,$3.5,Full Service,Renault & Handley 
605 Ellis Street,1st ,Mountain View,94043,Office,5750,$3.75,Full Service,Cassidy Turley Northern California
899 Evelyn Avenue (W),Entire Bldg,Mountain View,94041,Office,70232,$5.5,NNN,Cornish & Carey Commercial-PA
100 Evelyn Avenue (W),220,Mountain View,94043,Office,7200,$5.75,Full Service,Cornish & Carey Commercial-PA
150 Evelyn Avenue (W) (TBB),0,Mountain View,94041,Office,49052,$6.5,NNN,Cassidy Turley Northern California
465 Fairchild Drive,109,Mountain View,94043,Office,1615,$2.25,Full Service,Cassidy Turley Northern California
465 Fairchild Drive,202,Mountain View,94043,Office,1095,$2.25,Full Service,Cassidy Turley Northern California
465 Fairchild Drive,135,Mountain View,94043,Office,3218,$1.95,Full Service,Cassidy Turley Northern California
465 Fairchild Drive,108,Mountain View,94043,Office,1049,$2.25,Full Service,Cassidy Turley Northern California
1503 Grant Road,0,Mountain View,94040,Office,19771,$0,0,Colliers International
280 Hope Street,0,Mountain View,94041,Office,4237,$4.65,NNN,Cornish & Carey Commercial-PA
1987 Leghorn Street,0,Mountain View,94043,Office,10870,$3,NNN,Cornish & Carey Commercial-SC
2307 Leghorn Street,0,Mountain View,94043,Office,9991,$3.5,NNN,Cornish & Carey Commercial-PA
700 Middlefield Road (E),0,Mountain View,94043,Office,1045600,$3.95,NNN,Cornish & Carey Commercial-SC
284 Moffett Blvd,0,Mountain View,94043,Office,3000,$3.95,NNN,Cornish & Carey Commercial-SC
284 Moffett Blvd,0,Mountain View,94043,Office,3000,$0,0,Cornish & Carey Commercial-SC
260 Moffett Park Blvd,0,Mountain View,94043,Office,2740,$0,0,Cornish & Carey Commercial-SC
260 Moffett Park Blvd,0,Mountain View,94043,Office,2740,$4.25,NNN,Cornish & Carey Commercial-SC
600 National Avenue,0,Mountain View,94043,Office,140569,$0,--,Cassidy Turley Northern California
1901 Old Middlefield Way,18,Mountain View,94043,Office,1135,$3,Full Service,Cornish & Carey Commercial-SM
1901 Old Middlefield Way,1-3,Mountain View,94043,Office,600,$3,Full Service,Cornish & Carey Commercial-SM
1901 Old Middlefield Way,13,Mountain View,94043,Office,300,$3,Full Service,Cornish & Carey Commercial-SM
201 San Antonio Circle,290,Mountain View,94040,Office,1668,$3.75,Full Service,Cassidy Turley Northern California
520 San Antonio Road (N),1st Flr,Mountain View,94040,Office,4959,$3.25,Full Service,Cassidy Turley Northern California
298 San Antonio Road (S),0,Mountain View,94040,Office,2840,$3,NNN,Prime Commercial Inc.
554 San Antonio Road (S),1st Flr,Mountain View,94040,Office,6323,$4.25,NNN,Cushman & Wakefield
554 San Antonio Road (S),2nd Flr,Mountain View,94040,Office,6323,$4.25,NNN,Cushman & Wakefield
1043 Shoreline Blvd (N),100,Mountain View,94043,Office,2805,$2.35,Full Service,Cassidy Turley Northern California
1043 Shoreline Blvd (N),202,Mountain View,94043,Office,1687,$2.65,Full Service,Cassidy Turley Northern California
1001 Shoreline Blvd. (N),0,Mountain View,94043,Office,125710,$5.5,NNN,Cornish & Carey Commercial-SC
888 Villa Street,300,Mountain View,94041,Office,6179,$5.95,Full Service,Cornish & Carey Commercial-PA